Player,Year,Pos,Actual,Scrim,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Y/R,Rec TD,Catch%,Rush TD,Yards/att,Touch,Y/T,G,GS,cScrim,cTOT TD,cFmbl,cRec,cTgt,cAtt,cRush yds,cRec yds,cY/R,cRec TD,cCatch%,cRush TD,cY/A,cTouch,cY/T,cG,cGS
Chris Conley,2019,WR,154.5,48.4375,0.3125,0.0,2.9375,5.625,0.0,27.0,0.0,48.4375,1.03125,0.3125,3.2625,0.0,0.0,2.9375,1.03125,16.0,14.0,25.359375,0.09375,0.046875,2.003125,3.175,0.0,0.0,25.359375,1.3278125,0.09375,6.2540625,0.0,0.0,2.003125,1.3278125,13.25,8.5
Chris Conley,2020,WR,97.1,31.4,0.13333333333333333,0.06666666666666667,2.6666666666666665,4.2,0.0,28.0,0.0,31.4,0.7866666666666667,0.13333333333333333,4.233333333333333,0.0,0.0,2.6666666666666665,0.7866666666666667,15.0,4.0,29.975,0.1375,0.0375,2.19,3.665,0.0,0.0,29.975,1.2685,0.1375,5.655749999999999,0.0,0.0,2.19,1.2685,13.8,9.6
Chris Conley,2021,WR,64.6,20.375,0.125,0.0625,1.375,2.3125,0.1875,29.0,0.0,20.1875,0.91875,0.125,3.71875,0.0625,0.0125,1.4375,0.8875,16.0,10.0,30.212500000000002,0.13680555555555554,0.042361111111111106,2.2694444444444444,3.7541666666666664,0.0,0.0,30.212500000000002,1.1881944444444446,0.13680555555555554,5.418680555555555,0.0,0.0,2.2694444444444444,1.1881944444444446,14.0,8.666666666666666
Darius Slayton,2019,WR,170.0,52.857142857142854,0.5714285714285714,0.0,3.4285714285714284,6.0,0.0,22.0,0.0,52.857142857142854,1.1,0.5714285714285714,4.078571428571428,0.0,0.0,3.4285714285714284,1.1,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,2020,WR,141.0,46.875,0.1875,0.0625,3.125,6.0,-0.0625,23.0,0.0,46.9375,0.9375,0.1875,3.25625,0.0,-0.00625,3.25,0.9,16.0,15.0,52.857142857142854,0.5714285714285714,0.0,3.4285714285714284,6.0,0.0,0.0,52.857142857142854,1.1,0.5714285714285714,4.078571428571428,0.0,0.0,3.4285714285714284,1.1,14.0,9.0
Darius Slayton,2021,WR,68.6,25.076923076923077,0.15384615384615385,0.07692307692307693,2.0,4.461538461538462,-1.0,24.0,0.0,26.076923076923077,1.0,0.15384615384615385,3.446153846153846,0.0,-0.07692307692307693,2.076923076923077,0.9307692307692308,13.0,5.0,49.86607142857143,0.3794642857142857,0.03125,3.2767857142857144,6.0,-0.03125,0.0,49.89732142857143,1.01875,0.3794642857142857,3.6674107142857144,0.0,-0.003125,3.3392857142857144,1.0,15.0,12.0
Jeff Wilson,2018,RB,42.4,60.666666666666664,0.0,0.5,2.0,2.5,11.0,23.0,44.333333333333336,16.333333333333332,8.2,0.0,80.0,0.0,4.0,13.0,4.7,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Wilson,2019,RB,46.9,13.9,0.5,0.0,0.3,0.5,2.7,24.0,10.5,3.4,11.3,0.1,60.0,0.4,3.9,3.0,4.6,10.0,0.0,60.666666666666664,0.0,0.5,2.0,2.5,11.0,44.333333333333336,16.333333333333332,8.2,0.0,80.0,0.0,4.0,13.0,4.7,6.0,2.0
Jeff Wilson,2020,RB,142.3,61.083333333333336,0.8333333333333334,0.16666666666666666,1.0833333333333333,2.3333333333333335,10.5,25.0,50.0,11.083333333333334,10.2,0.25,46.4,0.5833333333333334,4.8,11.583333333333334,5.3,12.0,3.0,37.28333333333333,0.25,0.25,1.15,1.5,6.85,27.416666666666668,9.866666666666665,9.75,0.05,70.0,0.2,3.95,8.0,4.65,8.0,1.0
Jeff Wilson,2021,RB,49.5,36.111111111111114,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.8888888888888888,8.777777777777779,26.0,32.666666666666664,3.4444444444444446,4.4,0.0,87.5,0.2222222222222222,3.7,9.555555555555555,3.8,9.0,4.0,45.21666666666667,0.4444444444444445,0.2222222222222222,1.1277777777777775,1.777777777777778,8.066666666666666,34.94444444444445,10.27222222222222,9.9,0.11666666666666665,62.13333333333333,0.3277777777777778,4.233333333333333,9.194444444444445,4.866666666666667,9.333333333333334,1.6666666666666667
